날짜,항공사,출발시간,출발지,도착시간,도착지,소요시간,가격,최저가 결제수단
2024.03.15 Fri,제주항공,08:10,ICN,10:35,NRT, 02:25,"266,700원",삼성 iD NOMAD 
2024.03.15 Fri,이스타항공,15:20,ICN,17:55,NRT, 02:35,"285,400원",KB국민
2024.03.15 Fri,진에어,07:10,ICN,09:30,NRT, 02:20,"291,700원",KB국민
2024.03.15 Fri,진에어,07:30,ICN,09:50,NRT, 02:20,"291,700원",KB국민
2024.03.15 Fri,진에어,11:45,ICN,14:15,NRT, 02:30,"291,700원",KB국민
2024.03.15 Fri,진에어,15:20,ICN,18:00,NRT, 02:40,"313,700원",KB국민
2024.03.15 Fri,에티오피아항공,17:00,ICN,19:30,NRT, 02:30,"315,800원",삼성 iD NOMAD 
2024.03.15 Fri,제주항공,14:50,ICN,17:15,NRT, 02:25,"358,400원",삼성
2024.03.15 Fri,제주항공,16:20,ICN,18:40,NRT, 02:20,"358,400원",삼성
2024.03.15 Fri,티웨이항공,07:45,ICN,10:10,NRT, 02:25,"359,300원",롯데
2024.03.15 Fri,티웨이항공,15:30,ICN,17:50,NRT, 02:20,"359,300원",롯데
2024.03.15 Fri,제주항공,14:20,ICN,17:00,NRT, 02:40,"365,700원",Mile1 하나
2024.03.15 Fri,에어서울,16:40,ICN,19:00,NRT, 02:20,"373,900원",삼성
2024.03.15 Fri,대한항공,16:55,ICN,19:20,NRT, 02:25,"393,800원",신한
2024.03.15 Fri,대한항공,09:55,ICN,12:20,NRT, 02:25,"393,800원",신한
2024.03.15 Fri,아시아나항공,15:35,ICN,17:55,NRT, 02:20,"394,400원",롯데
2024.03.15 Fri,아시아나항공,12:10,ICN,14:30,NRT, 02:20,"402,500원",롯데
2024.03.15 Fri,아시아나항공,18:35,ICN,21:00,NRT, 02:25,"402,500원",롯데
2024.03.15 Fri,아시아나항공,09:00,ICN,11:20,NRT, 02:20,"402,500원",롯데
2024.03.15 Fri,대한항공,13:35,ICN,15:40,NRT, 02:05,"403,200원",신한
2024.03.15 Fri,대한항공,18:45,ICN,21:05,NRT, 02:20,"403,200원",신한
2024.03.15 Fri,일본항공,18:45,ICN,21:05,NRT, 02:20,"409,500원",KB국민
2024.03.15 Fri,일본항공,09:55,ICN,12:20,NRT, 02:25,"409,500원",KB국민
2024.03.15 Fri,일본항공,16:55,ICN,19:20,NRT, 02:25,"409,500원",KB국민
2024.03.15 Fri,일본항공,13:35,ICN,15:40,NRT, 02:05,"409,500원",KB국민
2024.03.16 Sat,에어서울,09:40,ICN,12:10,NRT, 02:30,"159,400원",Mile1 하나
2024.03.16 Sat,에어프레미아,08:25,ICN,11:00,NRT, 02:35,"212,200원",KB국민
2024.03.16 Sat,에어서울,07:55,ICN,10:25,NRT, 02:30,"217,000원",신한
2024.03.16 Sat,제주항공,14:20,ICN,17:00,NRT, 02:40,"223,300원",삼성 iD NOMAD 
2024.03.16 Sat,제주항공,14:50,ICN,17:15,NRT, 02:25,"223,300원",삼성 iD NOMAD 
2024.03.16 Sat,제주항공,08:10,ICN,10:35,NRT, 02:25,"223,300원",삼성 iD NOMAD 
2024.03.16 Sat,이스타항공,08:40,ICN,11:00,NRT, 02:20,"224,700원",현대 M2/M3 Edition2
2024.03.16 Sat,티웨이항공,07:45,ICN,10:10,NRT, 02:25,"227,400원",신한
2024.03.16 Sat,에어부산,15:05,ICN,17:30,NRT, 02:25,"242,200원",하나
2024.03.16 Sat,에어부산,07:50,ICN,10:15,NRT, 02:25,"242,200원",하나
2024.03.16 Sat,진에어,07:30,ICN,09:50,NRT, 02:20,"246,100원",현대 M2/M3 Edition2
2024.03.16 Sat,진에어,15:20,ICN,18:00,NRT, 02:40,"246,100원",현대 M2/M3 Edition2
2024.03.16 Sat,진에어,11:45,ICN,14:15,NRT, 02:30,"246,100원",현대 M2/M3 Edition2
2024.03.16 Sat,이스타항공,07:15,ICN,10:10,NRT, 02:55,"256,000원",현대 M2/M3 Edition2
2024.03.16 Sat,이스타항공,15:20,ICN,18:00,NRT, 02:40,"256,000원",현대 M2/M3 Edition2
2024.03.16 Sat,티웨이항공,10:20,ICN,12:45,NRT, 02:25,"259,900원",신한
2024.03.16 Sat,제주항공,10:35,ICN,13:00,NRT, 02:25,"261,900원",삼성
2024.03.16 Sat,제주항공,16:20,ICN,18:40,NRT, 02:20,"261,900원",삼성
2024.03.16 Sat,에어서울,16:40,ICN,19:00,NRT, 02:20,"264,500원",신한
2024.03.16 Sat,진에어,07:10,ICN,09:30,NRT, 02:20,"267,600원",현대 M2/M3 Edition2
2024.03.16 Sat,대한항공,16:55,ICN,19:20,NRT, 02:25,"292,300원",현대 M2/M3 Edition2
2024.03.16 Sat,아시아나항공,12:10,ICN,14:30,NRT, 02:20,"312,000원",현대 M2/M3 Edition2
2024.03.16 Sat,아시아나항공,15:35,ICN,17:55,NRT, 02:20,"312,000원",현대 M2/M3 Edition2
2024.03.16 Sat,아시아나항공,18:35,ICN,21:00,NRT, 02:25,"312,000원",현대 M2/M3 Edition2
2024.03.16 Sat,대한항공,18:45,ICN,21:05,NRT, 02:20,"313,600원",현대 M2/M3 Edition2
2024.03.16 Sat,대한항공,13:35,ICN,15:40,NRT, 02:05,"353,200원",신한
2024.03.16 Sat,대한항공,09:55,ICN,12:20,NRT, 02:25,"353,200원",신한
2024.03.16 Sat,에티오피아항공,17:00,ICN,19:30,NRT, 02:30,"356,700원",삼성
2024.03.16 Sat,아시아나항공,09:00,ICN,11:20,NRT, 02:20,"356,900원",현대 M2/M3 Edition2
2024.03.16 Sat,티웨이항공,15:30,ICN,17:50,NRT, 02:20,"359,300원",롯데
2024.03.16 Sat,일본항공,18:45,ICN,21:05,NRT, 02:20,"409,500원",KB국민
2024.03.16 Sat,일본항공,09:55,ICN,12:20,NRT, 02:25,"409,500원",KB국민
2024.03.16 Sat,일본항공,16:55,ICN,19:20,NRT, 02:25,"409,500원",KB국민
2024.03.16 Sat,일본항공,13:35,ICN,15:40,NRT, 02:05,"409,500원",KB국민
2024.03.16 Sat,ANA,12:10,ICN,14:30,NRT, 02:20,"410,000원",KB국민
2024.03.16 Sat,ANA,09:00,ICN,11:20,NRT, 02:20,"410,000원",KB국민
2024.03.16 Sat,ANA,15:35,ICN,17:55,NRT, 02:20,"410,000원",KB국민
2024.03.15 Fri,이스타항공,19:00,NRT,21:35,ICN, 02:35,"265,100원",현대 M2/M3 Edition2
2024.03.15 Fri,에어서울,20:00,NRT,22:30,ICN, 02:30,"276,300원",KB국민
2024.03.15 Fri,에어서울,11:25,NRT,14:05,ICN, 02:40,"276,300원",KB국민
2024.03.15 Fri,에어서울,13:10,NRT,15:45,ICN, 02:35,"276,300원",KB국민
2024.03.15 Fri,진에어,11:00,NRT,14:00,ICN, 03:00,"287,500원",KB국민
2024.03.15 Fri,에티오피아항공,20:30,NRT,23:10,ICN, 02:40,"296,600원",현대 M2/M3 Edition2
2024.03.15 Fri,대한항공,17:00,NRT,19:50,ICN, 02:50,"297,800원",KB국민
